service_id,date,exception_type
025-1-0900122025-L#B,20251225,2
025-11-0930012026-L#B,20260108,2
025-13-1245122025-L#B,20251223,2
025-13-1245122025-L#B,20251225,2
025-14-1400102025-B#L,20251010,2
025-14-1400102025-B#L,20251017,2
025-14-1500012026-B#L,20260108,2
025-14-1500122025-B#L,20251209,2
025-14-1500122025-B#L,20251211,2
025-14-1500122025-B#L,20251216,2
025-14-1500122025-B#L,20251218,2
025-15-1315012026-L#B,20260108,2
025-15-1315122025-L#B,20251209,2
025-15-1315122025-L#B,20251211,2
025-15-1315122025-L#B,20251216,2
025-15-1315122025-L#B,20251218,2
025-19-1730092025-L#B,20250909,2
025-19-1730092025-L#B,20250910,2
025-19-1730092025-L#B,20250916,2
025-19-1730092025-L#B,20250917,2
025-19-1730092025-L#B,20250923,2
025-19-1730092025-L#B,20250924,2
025-19-1730102025-L#B,20251003,2
025-20-1600092025-B#L,20250909,2
025-20-1600092025-B#L,20250910,2
025-20-1600092025-B#L,20250916,2
025-20-1600092025-B#L,20250917,2
025-20-1600092025-B#L,20250923,2
025-20-1600092025-B#L,20250924,2
025-20-1715012026-B#L,20260108,2
025-20-1715122025-B#L,20251216,2
025-2-0730102025-B#L,20251003,2
025-2-0830122025-B#L,20251208,2
025-2-0830122025-B#L,20251223,2
025-2-0830122025-B#L,20251225,2
025-23-1800102025-L#B,20251010,2
025-23-1800102025-L#B,20251017,2
025-23-1900012026-L#B,20260108,2
025-23-1900122025-L#B,20251209,2
025-23-1900122025-L#B,20251216,2
025-4-0815102025-B#L,20251010,2
025-4-0815102025-B#L,20251017,2
025-4-0915012026-B#L,20260108,2
025-4-0915122025-B#L,20251209,2
025-4-0915122025-B#L,20251211,2
025-4-0915122025-B#L,20251216,2
025-4-0915122025-B#L,20251218,2
027-11-1145012026-M#E,20260110,2
027-11-1145112025-M#E,20251108,2
027-11-1145112025-M#E,20251115,2
027-11-1145112025-M#E,20251122,2
027-11-1145112025-M#E,20251129,2
027-11-1145122025-M#E,20251206,2
027-13-0600012026-M#GRO,20260108,2
027-27-0945122025-M#E,20251208,2
027-29-1615122025-M#KA,20251203,2
027-29-1615122025-M#KA,20251210,2
027-29-1615122025-M#KA,20251217,2
027-34-0515012026-E#M,20260108,2
027-40-0730012026-GRO#M,20260109,2
027-40-0730122025-GRO#M,20251205,2
027-4-0745112025-E#M,20251106,2
027-4-0745112025-E#M,20251109,2
027-4-0745112025-E#M,20251116,2
027-4-0745112025-E#M,20251123,2
027-4-0745122025-E#M,20251207,2
027-60-0845122025-KA#M,20251203,2
027-60-0845122025-KA#M,20251210,2
027-60-0845122025-KA#M,20251217,2
027-70-0800122025-KA#ZH,20251202,2
027-70-0800122025-KA#ZH,20251209,2
027-70-0800122025-KA#ZH,20251216,2
027-71-1400122025-ZH#KA,20251202,2
027-71-1400122025-ZH#KA,20251209,2
027-71-1400122025-ZH#KA,20251216,2
032-4-1100012026-MAL#B,20260108,2
032-4-1100122025-MAL#B,20251203,2
032-4-1100122025-MAL#B,20251210,2
032-4-1100122025-MAL#B,20251217,2
032-6-1320092025-KHG#B,20250909,2
032-6-1320092025-KHG#B,20250910,2
032-6-1320092025-KHG#B,20250911,2
032-7-0820122025-B#MAL,20251202,2
032-7-0820122025-B#MAL,20251209,2
032-7-0820122025-B#MAL,20251216,2
032-9-0940092025-B#KHG,20250908,2
032-9-0940092025-B#KHG,20250909,2
032-9-0940092025-B#KHG,20250910,2
034-1-1330012026-M#B,20260108,2
036-26-0700102025-STB#BUD,20251008,2
036-26-0700102025-STB#BUD,20251015,2
036-26-0700102025-STB#BUD,20251022,2
036-26-0800122025-STB#BUD,20251202,2
036-26-0800122025-STB#BUD,20251203,2
036-26-0800122025-STB#BUD,20251209,2
036-26-0800122025-STB#BUD,20251210,2
036-26-0800122025-STB#BUD,20251216,2
036-26-0800122025-STB#BUD,20251217,2
036-29-0500122025-BUD#STB,20251208,2
036-29-0500122025-BUD#STB,20251209,2
036-29-0500122025-BUD#STB,20251215,2
036-29-0500122025-BUD#STB,20251216,2
036-71-0400102025-BTS#SB,20251008,2
036-71-0400102025-BTS#SB,20251015,2
036-71-0400102025-BTS#SB,20251022,2
036-71-0500122025-BTS#SB,20251203,2
036-71-0500122025-BTS#SB,20251210,2
036-71-0500122025-BTS#SB,20251217,2
036-98-0650102025-SB#BTS,20251009,2
036-98-0650102025-SB#BTS,20251016,2
036-98-0650102025-SB#BTS,20251023,2
036-98-0750012026-SB#BTS,20260108,2
036-98-0750122025-SB#BTS,20251204,2
036-98-0750122025-SB#BTS,20251211,2
036-98-0750122025-SB#BTS,20251218,2
037-1-0700122025-M#AMD,20251208,2
037-1-0700122025-M#AMD,20251209,2
037-1-0700122025-M#AMD,20251215,2
037-1-0700122025-M#AMD,20251216,2
037-2-0615102025-AMD#M,20251008,2
037-2-0615102025-AMD#M,20251015,2
037-2-0615102025-AMD#M,20251022,2
037-2-0715122025-AMD#M,20251202,2
037-2-0715122025-AMD#M,20251203,2
037-2-0715122025-AMD#M,20251209,2
037-2-0715122025-AMD#M,20251210,2
037-2-0715122025-AMD#M,20251216,2
037-2-0715122025-AMD#M,20251217,2
039-10-0750122025-ZWB#B,20251224,2
039-15-1400122025-B#ZWB,20251224,2
040-1-0315102025-INN#MUC,20251008,2
040-1-0315102025-INN#MUC,20251009,2
040-1-0315102025-INN#MUC,20251015,2
040-1-0315102025-INN#MUC,20251016,2
040-1-0315102025-INN#MUC,20251022,2
040-1-0315102025-INN#MUC,20251023,2
040-1-0415012026-INN#MUC,20260108,2
040-1-0415122025-INN#MUC,20251203,2
040-1-0415122025-INN#MUC,20251204,2
040-1-0415122025-INN#MUC,20251210,2
040-1-0415122025-INN#MUC,20251211,2
040-1-0415122025-INN#MUC,20251217,2
040-1-0415122025-INN#MUC,20251218,2
040-11-1830122025-INN#M,20251224,2
040-17-1115102025-INN#MUC,20251008,2
040-17-1115102025-INN#MUC,20251009,2
040-17-1115102025-INN#MUC,20251015,2
